number,genus,metabolism,treatment,rep,run1,run2,seconds,gas_id,gas_mM
360,Hymenena,nonccm,Low,1,Dark2,Dark,550,O2,8.573591474
361,Hymenena,nonccm,Low,1,Dark2,Dark,564,O2,8.650356272
362,Hymenena,nonccm,Low,1,Dark2,Dark,578,O2,8.605660979
363,Hymenena,nonccm,Low,1,Dark2,Dark,592,O2,8.397777361
364,Hymenena,nonccm,Low,1,Dark2,Dark,605,O2,8.750794425
365,Hymenena,nonccm,Low,1,Dark2,Dark,618,O2,8.604272142
366,Odonthalia,ccm,High,1,Dark1,Dark,287,O2,9.329055566
367,Odonthalia,ccm,High,1,Dark1,Dark,301,O2,9.532772673
368,Odonthalia,ccm,High,1,Dark1,Dark,315,O2,9.663891493
369,Odonthalia,ccm,High,1,Dark1,Dark,329,O2,9.181207575
370,Odonthalia,ccm,High,1,Dark1,Dark,343,O2,9.617176074
371,Odonthalia,ccm,High,1,Dark1,Dark,356,O2,9.529300581
